"Program","Year","Period","State","Commodity","Data_Item","Domain","Total_Yield","Average_Annual_Temperature","Average_Annual_Temperature_Uncertainty","Min_Annual_Temperature","Max_Annual_Temperature","Annual_Temperature_Variance","Annual_Temperature_SD","Annual_Percipitation","Annual_Percipitation_Anomaly..departure.from.mean.","State_Percipitaiton_Mean","Outlier"
"SURVEY",2013,"YEAR","MARYLAND","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39.5,14.26777778,0.323444444,1.706,25.377,87.39381594,9.348465967,46.04,3.45,42.59,"No"
"SURVEY",2013,"YEAR","MICHIGAN","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",44.5,8.731111111,0.364444444,-5.923,20.621,117.6164409,10.84511138,38.23,7.1,31.13,"No"
"SURVEY",2013,"YEAR","MINNESOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",42,6.845444444,0.328222222,-11.248,20.904,181.6133623,13.4764002,29.01,3.03,25.98,"No"
"SURVEY",2013,"YEAR","MISSISSIPPI","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",46,19.44366667,0.296,9.734,27.052,59.4997395,7.713607425,62.93,7.46,55.47,"No"
"SURVEY",2013,"YEAR","MISSOURI","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",36,14.41077778,0.300111111,0.945,24.465,104.2685199,10.21119581,45.71,5.21,40.5,"No"
"SURVEY",2013,"YEAR","NEBRASKA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",53.5,11.807,0.327555556,-3.536,23.548,127.1305557,11.27521866,23.44,0.8,22.64,"No"
"SURVEY",2013,"YEAR","NEW JERSEY","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39.5,13.03777778,0.331,0.064,25.173,94.48977869,9.720585306,46.38,1.42,44.96,"No"
"SURVEY",2013,"YEAR","NEW YORK","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",48,9.914111111,0.345222222,-4.296,22.56,110.5270016,10.51318228,43.99,3.7,40.29,"No"
"SURVEY",2013,"YEAR","NORTH CAROLINA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",33.5,16.544,0.325555556,5.668,25.4,66.00215925,8.124171296,56.45,7.12,49.33,"No"
"SURVEY",2013,"YEAR","NORTH DAKOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",30.5,6.933888889,0.342,-11.315,20.792,183.0815221,13.53076207,23.28,5.94,17.34,"No"
"SURVEY",2013,"YEAR","OHIO","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",49.5,12.58133333,0.334222222,-1.38,23.159,103.6023875,10.1785258,41.69,3.4,38.29,"No"
"SURVEY",2013,"YEAR","OKLAHOMA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",30.5,17.52466667,0.322777778,4.599,27.25,91.5376505,9.567531056,36.7,2.86,33.84,"No"
"SURVEY",2013,"YEAR","PENNSYLVANIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",49,11.54322222,0.320333333,-2.187,23.234,99.83846919,9.991920196,41.82,-0.16,41.98,"No"
"SURVEY",2013,"YEAR","SOUTH CAROLINA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",28.5,18.73566667,0.314222222,8.494,26.507,56.17693625,7.495127501,56.39,8.5,47.89,"No"
"SURVEY",2013,"YEAR","SOUTH DAKOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",40.5,9.773,0.335,-6.689,22.649,148.8471758,12.20029408,24.94,5.87,19.07,"No"
"SURVEY",2013,"YEAR","TENNESSEE","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",46.5,15.91188889,0.311666667,4.829,24.208,73.79635136,8.590480275,63.27,11.63,51.64,"No"
"SURVEY",2013,"YEAR","TEXAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",25.5,20.42522222,0.303222222,8.671,28.663,62.31027169,7.893685558,26.02,-1.06,27.08,"No"
"SURVEY",2013,"YEAR","VIRGINIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",38.5,14.73155556,0.332222222,2.773,24.73,78.82152553,8.878148767,51.37,8.43,42.94,"No"
"SURVEY",2013,"YEAR","WEST VIRGINIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",46.5,13.02944444,0.334666667,0.3,23.221,86.80205753,9.31676218,47.59,2.93,44.66,"No"
"SURVEY",2013,"YEAR","WISCONSIN","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39,8.085333333,0.348666667,-8.003,20.937,149.490545,12.22663261,36.53,5.24,31.29,"No"
"SURVEY",2012,"YEAR","ALABAMA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",45,18.73491667,0.2495,10.29,28.119,43.76616136,6.615599849,53.38,-1.87,55.25,"No"
"SURVEY",2012,"YEAR","ARKANSAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43.5,17.826,0.230833333,7.115,29.407,63.95849691,7.997405636,39.81,-9.8,49.61,"No"
"SURVEY",2012,"YEAR","DELAWARE","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",42.5,14.09016667,0.316,3.578,26.137,63.9291347,7.995569692,39.32,-4.03,43.35,"No"
"SURVEY",2012,"YEAR","FLORIDA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39,22.68083333,0.250916667,16.006,28.145,19.32893906,4.396468931,55.09,1.44,53.65,"No"
"SURVEY",2012,"YEAR","ILLINOIS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43,13.52375,0.270666667,0.139,28.156,88.17730257,9.390277023,30.11,-7.36,37.47,"No"
"SURVEY",2012,"YEAR","INDIANA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",44,13.31941667,0.273666667,0.432,27.461,83.49397427,9.137503722,33.82,-5.91,39.73,"No"
"SURVEY",2012,"YEAR","IOWA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",45,11.742,0.27775,-2.616,27.277,106.9814982,10.34318607,25.61,-6.48,32.09,"No"
"SURVEY",2012,"YEAR","KANSAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",23,14.83708333,0.248333333,1.5,29.673,95.4586499,9.770294259,19.29,-7.77,27.06,"No"
"SURVEY",2012,"YEAR","KENTUCKY","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",40,15.02758333,0.281833333,3.707,27.608,68.24567808,8.261094242,43.21,-3.73,46.94,"No"
"SURVEY",2012,"YEAR","LOUISIANA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",46.5,20.76616667,0.256583333,13.089,28.336,37.20424961,6.099528638,62.88,5.99,56.89,"No"
"SURVEY",2012,"YEAR","MARYLAND","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",47,14.18908333,0.27875,3.263,26.469,66.65345863,8.164156945,40.4,-2.19,42.59,"No"
"SURVEY",2012,"YEAR","MICHIGAN","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43,9.3455,0.296333333,-3.354,23.108,81.41665755,9.02311795,31,-0.13,31.13,"No"
"SURVEY",2012,"YEAR","MINNESOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43.5,7.553583333,0.264666667,-8.267,23.8,123.5050492,11.11328256,26.17,0.19,25.98,"No"
"SURVEY",2012,"YEAR","MISSISSIPPI","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",45,19.26766667,0.243083333,10.874,28.375,44.90165952,6.700870057,59.17,3.7,55.47,"No"
"SURVEY",2012,"YEAR","MISSOURI","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",30,15.087,0.227333333,2.409,29.279,83.366156,9.130506886,31.03,-9.47,40.5,"No"
"SURVEY",2012,"YEAR","NEBRASKA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",41.5,11.81933333,0.27,-2.323,27.32,107.1534639,10.35149573,13.36,-9.28,22.64,"No"
"SURVEY",2012,"YEAR","NEW JERSEY","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39,12.95658333,0.296083333,1.636,25.251,69.27612936,8.323228301,41.99,-2.97,44.96,"No"
"SURVEY",2012,"YEAR","NEW YORK","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",46,9.91475,0.2465,-2.897,22.646,81.12180893,9.006764621,39.56,-0.73,40.29,"No"
"SURVEY",2012,"YEAR","NORTH CAROLINA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39.5,16.32016667,0.250916667,6.947,27.262,51.00560288,7.141820698,46.62,-2.71,49.33,"No"
"SURVEY",2012,"YEAR","NORTH DAKOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",34.5,7.05875,0.249333333,-10.262,23.849,131.2598342,11.45686843,15.09,-2.25,17.34,"No"
"SURVEY",2012,"YEAR","OHIO","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",45,12.62558333,0.26225,0.287,25.93,78.36875663,8.852612983,37.28,-1.01,38.29,"No"
"SURVEY",2012,"YEAR","OKLAHOMA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",15,17.6785,0.237083333,5.866,30.409,77.31579627,8.792940138,25.7,-8.14,33.84,"No"
"SURVEY",2012,"YEAR","PENNSYLVANIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",48,11.4795,0.258583333,-0.617,24.076,73.94576736,8.599172481,43.49,1.51,41.98,"No"
"SURVEY",2012,"YEAR","SOUTH CAROLINA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",34,18.55425,0.235083333,9.596,28.614,44.30794875,6.656421618,43.77,-4.12,47.89,"No"
"SURVEY",2012,"YEAR","SOUTH DAKOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",30.5,9.90775,0.223416667,-5.629,26.397,119.2931049,10.92213829,14.58,-4.49,19.07,"No"
"SURVEY",2012,"YEAR","TENNESSEE","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",38,16.01416667,0.248,5.799,27.383,58.21145052,7.629642883,46.89,-4.75,51.64,"No"
"SURVEY",2012,"YEAR","TEXAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",26,19.92641667,0.222833333,10.127,28.942,52.09494699,7.217682938,24.1,-2.98,27.08,"No"
"SURVEY",2012,"YEAR","VIRGINIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",42,14.56416667,0.26675,4.122,26.479,60.90175961,7.803957945,40.05,-2.89,42.94,"No"
"SURVEY",2012,"YEAR","WEST VIRGINIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",49,12.877,0.252583333,1.848,24.982,66.08348273,8.129174788,44.62,-0.04,44.66,"No"
"SURVEY",2012,"YEAR","WISCONSIN","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",42,8.959166667,0.306833333,-5.667,24.157,101.2515402,10.06238243,28.8,-2.49,31.29,"No"
"SURVEY",2011,"YEAR","ALABAMA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",33,18.12425,0.200083333,5.297,28.281,61.02022148,7.811544116,50.71,-4.54,55.25,"No"
"SURVEY",2011,"YEAR","ARKANSAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",38.5,16.86608333,0.203333333,3.093,29.654,83.18658645,9.120668092,55.84,6.23,49.61,"No"
"SURVEY",2011,"YEAR","DELAWARE","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39.5,13.68966667,0.290416667,-1.169,26.199,80.2939317,8.960688126,44.56,1.21,43.35,"No"
"SURVEY",2011,"YEAR","FLORIDA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",27,22.59591667,0.2235,13.571,29.074,25.25634463,5.025569085,46.77,-6.88,53.65,"No"
"SURVEY",2011,"YEAR","ILLINOIS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",47.5,12.11183333,0.20175,-4.81,27.138,105.8989663,10.29072234,46.1,8.63,37.47,"No"
"SURVEY",2011,"YEAR","INDIANA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",45.5,12.17525,0.19775,-4.33,26.81,99.8733882,9.993667405,55.2,15.47,39.73,"No"
"SURVEY",2011,"YEAR","IOWA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",51.5,9.723083333,0.230666667,-8.977,26.404,131.8691666,11.48343009,31.83,-0.26,32.09,"No"
"SURVEY",2011,"YEAR","KANSAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",27.5,13.19616667,0.211416667,-2.53,29.891,124.9414892,11.1777229,24.17,-2.89,27.06,"No"
"SURVEY",2011,"YEAR","KENTUCKY","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39,14.21475,0.2575,-0.96,27.067,80.9281682,8.99600846,64.35,17.41,46.94,"No"
"SURVEY",2011,"YEAR","LOUISIANA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",36,20.20966667,0.194583333,8.426,30.663,57.82424861,7.604225707,43.01,-13.88,56.89,"No"
"SURVEY",2011,"YEAR","MARYLAND","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39,13.79233333,0.243916667,-1.031,26.434,81.69714442,9.038647267,51.11,8.52,42.59,"No"
"SURVEY",2011,"YEAR","MICHIGAN","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",44.5,7.833083333,0.284916667,-7.928,22.68,105.9060063,10.29106439,36.82,5.69,31.13,"No"
"SURVEY",2011,"YEAR","MINNESOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39,5.835416667,0.241666667,-14.519,22.89,153.8724695,12.40453423,24.35,-1.63,25.98,"No"
"SURVEY",2011,"YEAR","MISSISSIPPI","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",39,18.59033333,0.198416667,6.095,29.011,63.05034697,7.940424861,52.84,-2.63,55.47,"No"
"SURVEY",2011,"YEAR","MISSOURI","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",36.5,13.49691667,0.19825,-2.924,28.722,106.0590761,10.29849873,45.7,5.2,40.5,"No"
"SURVEY",2011,"YEAR","NEW JERSEY","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",38,12.39733333,0.271916667,-2.939,25.333,87.4046017,9.349042823,63.95,18.99,44.96,"No"
"SURVEY",2011,"YEAR","NEW YORK","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43,9.007583333,0.222666667,-6.901,22.669,104.9187088,10.24298339,55.71,15.42,40.29,"No"
"SURVEY",2011,"YEAR","NORTH CAROLINA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",30.5,16.11933333,0.235083333,2.675,26.985,64.19833206,8.012386165,45.99,-3.34,49.33,"No"
"SURVEY",2011,"YEAR","NORTH DAKOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",29,5.16125,0.202666667,-14.052,22.257,160.4404924,12.66651066,21.44,4.1,17.34,"No"
"SURVEY",2011,"YEAR","OHIO","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",48,11.717,0.210916667,-4.428,25.871,95.86589327,9.791112974,55.95,17.66,38.29,"No"
"SURVEY",2011,"YEAR","OKLAHOMA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",13,16.89625,0.227083333,1.886,32.2,112.5583006,10.60934968,26.24,-7.6,33.84,"No"
"SURVEY",2011,"YEAR","PENNSYLVANIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",44,10.73591667,0.220083333,-4.866,24.231,94.35812808,9.713811203,61,19.02,41.98,"No"
"SURVEY",2011,"YEAR","SOUTH CAROLINA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",25.5,18.29691667,0.220583333,5.226,28.537,60.06647717,7.750256588,38.21,-9.68,47.89,"No"
"SURVEY",2011,"YEAR","SOUTH DAKOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",37,7.470083333,0.204333333,-10.247,24.799,141.6374506,11.90115333,22.13,3.06,19.07,"No"
"SURVEY",2011,"YEAR","TENNESSEE","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",32,15.23725,0.206,1.171,27.09,72.90827893,8.538634489,62.59,10.95,51.64,"No"
"SURVEY",2011,"YEAR","TEXAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",19,19.71808333,0.190833333,7.121,31.401,78.60344627,8.865858462,14.7,-12.38,27.08,"No"
"SURVEY",2011,"YEAR","VIRGINIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",40,14.29175,0.23925,0.197,26.081,72.63779311,8.522780832,48.3,5.36,42.94,"No"
"SURVEY",2011,"YEAR","WEST VIRGINIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43,12.42933333,0.235416667,-2.39,24.79,77.79701406,8.820261564,55.1,10.44,44.66,"No"
"SURVEY",2011,"YEAR","WISCONSIN","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",47,7.191166667,0.268,-10.486,23.248,124.8274669,11.17262131,31.04,-0.25,31.29,"No"
"SURVEY",2010,"YEAR","ALABAMA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",26,17.46058333,0.180416667,4.617,28.844,90.82262736,9.530090627,47.19,-8.06,55.25,"No"
"SURVEY",2010,"YEAR","ARKANSAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",35,16.47141667,0.184416667,2.466,29.293,102.8194332,10.13999177,38.79,-10.82,49.61,"No"
"SURVEY",2010,"YEAR","DELAWARE","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",32,13.31333333,0.26225,0.032,26.063,96.69812806,9.833520634,40.56,-2.79,43.35,"No"
"SURVEY",2010,"YEAR","FLORIDA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",30,21.28066667,0.218666667,11.175,28.944,48.92339224,6.994525877,48.12,-5.53,53.65,"No"
"SURVEY",2010,"YEAR","ILLINOIS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",51.5,12.00225,0.191583333,-5.334,25.827,134.0469413,11.57786428,40.68,3.21,37.47,"No"
"SURVEY",2010,"YEAR","INDIANA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",48.5,11.99083333,0.189666667,-4.256,25.53,129.7268847,11.38977106,37.39,-2.34,39.73,"No"
"SURVEY",2010,"YEAR","IOWA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",51,9.645416667,0.198333333,-9.59,24.537,156.8377264,12.52348699,44.05,11.96,32.09,"No"
"SURVEY",2010,"YEAR","KANSAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",33,13.231,0.1735,-2.569,27.077,121.3964089,11.01800385,27.84,0.78,27.06,"No"
"SURVEY",2010,"YEAR","KENTUCKY","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",34,13.70375,0.199333333,-1.465,26.355,116.9718102,10.81535067,43.54,-3.4,46.94,"No"
"SURVEY",2010,"YEAR","LOUISIANA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",41,19.47791667,0.187666667,7.367,29.81,75.01207045,8.660950897,41.76,-15.13,56.89,"No"
"SURVEY",2010,"YEAR","MARYLAND","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",34,13.38125,0.207416667,-0.452,26.22,101.4785095,10.07365423,40.89,-1.7,42.59,"No"
"SURVEY",2010,"YEAR","MICHIGAN","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43.5,8.663583333,0.235333333,-5.533,22.097,102.4847297,10.12347419,31.22,0.09,31.13,"No"
"SURVEY",2010,"YEAR","MINNESOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",45,6.282333333,0.2305,-12.48,21.666,156.1869339,12.4974771,33.44,7.46,25.98,"No"
"SURVEY",2010,"YEAR","MISSISSIPPI","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",38.5,18.07575,0.182,5.171,29.37,88.96482293,9.432116567,43.91,-11.56,55.47,"No"
"SURVEY",2010,"YEAR","MISSOURI","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",41.5,13.2585,0.166916667,-3.683,26.786,127.3939774,11.28689405,44.57,4.07,40.5,"No"
"SURVEY",2010,"YEAR","NEBRASKA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",52.5,9.925,0.18625,-5.54,24.351,122.9100233,11.0864793,27.07,4.43,22.64,"No"
"SURVEY",2010,"YEAR","NEW JERSEY","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",24,12.26741667,0.2295,-1.151,25.384,98.58808208,9.92915314,44.6,-0.36,44.96,"No"
"SURVEY",2010,"YEAR","NEW YORK","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",48,9.141583333,0.191333333,-5.019,22.722,102.4256124,10.12055396,43.92,3.63,40.29,"No"
"SURVEY",2010,"YEAR","NORTH CAROLINA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",26,15.35541667,0.21725,1.225,26.732,93.94390754,9.692466535,46.27,-3.06,49.33,"No"
"SURVEY",2010,"YEAR","NORTH DAKOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",34,5.25875,0.178583333,-12.334,21.006,161.6957884,12.71596588,23.48,6.14,17.34,"No"
"SURVEY",2010,"YEAR","OHIO","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",48,11.39858333,0.189833333,-3.726,24.767,119.7463412,10.94286714,36.76,-1.53,38.29,"No"
"SURVEY",2010,"YEAR","OKLAHOMA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",25,16.08491667,0.165416667,1.864,29.321,104.1621995,10.20598842,32.04,-1.8,33.84,"No"
"SURVEY",2010,"YEAR","PENNSYLVANIA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",42,10.5745,0.191333333,-3.305,23.737,103.8841459,10.19235723,42.31,0.33,41.98,"No"
"SURVEY",2010,"YEAR","SOUTH CAROLINA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",23,17.40258333,0.2055,3.984,28.258,87.44052827,9.350964029,41.19,-6.7,47.89,"No"
"SURVEY",2010,"YEAR","SOUTH DAKOTA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",38,7.677666667,0.21575,-9.234,23.545,146.7781602,12.11520368,24.68,5.61,19.07,"No"
"SURVEY",2010,"YEAR","TENNESSEE","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",31,14.68525,0.196416667,0.443,27.028,108.1531429,10.39967033,49.65,-1.99,51.64,"No"
"SURVEY",2010,"YEAR","TEXAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",30,18.49858333,0.170833333,6.609,29.393,72.06045663,8.488843068,27.81,0.73,27.08,"No"
